Name,Name_jp,Area
TPX500:IND,TOPIX 500 INDEX (東証),日本
TPX100:IND,TOPIX 100 INDEX (東証),日本
NKY:IND,日経平均株価,日本
NKY500:IND,日経500平均,日本
TPX:IND,TOPIX (東証株価指数),日本
NEY:IND,日経300指数,日本
TSEREIT:IND,東証REIT指数,日本
JSDA:IND,JASDAQ ｲﾝﾃﾞｯｸｽ,日本
TPXC30:IND,TOPIX CORE 30 IDX (東証),日本
TSEMOTHR:IND,東証マザーズ指数,日本
TPXSM:IND,TOPIX SMALL INDEX (東証),日本
TPXM400:IND,TOPIX MID 400 INDX (東証),日本
NKYJQ:IND,日経ｼﾞｬｽﾀﾞｯｸ平均,日本
TSE2:IND,東証２部　株価指数,,日本
TPXL70:IND,TOPIX LARGE 70 IDX (東証),日本
SHCOMP:IND,中国 上海総合指数,中国
SHASHR:IND,中国 上海A株指数,中国
SZASHR:IND,中国 深ｾﾝA株指数,中国
SICOM:IND,中国 深ｾﾝ成分指数,中国
SHBSHR:IND,中国 上海B株指数,中国
SZBSHR:IND,中国 深ｾﾝB株指数,中国
SSE50:IND,中国 上海50A株指数,中国
SSE180:IND,中国 上海180A株指数,中国
SHNCOMP:IND,中国 上海新総合指数(G株),中国
SZ399006:IND,中国 創業板指数,,中国
SHSZ300:IND,上海/ｼﾝｾﾝ CSI300指数,中国
SZCOMP:IND,中国 深ｾﾝ総合指数,中国
HSML100:IND,ﾊﾝｾﾝ中国本土企業株100指数,香港
H-FIN:IND,ﾊﾝｾﾝ中国H株金融指数,香港
HKSPGEM:IND,S&P/HKEx GEM指数,香港
SAXCME:IND,S&Pｱｼﾞｱ50指数,香港
HSFML25:IND,ﾊﾝｾﾝ中国本土企業株25指数,香港
HKSPLC25:IND,S&P/HKEx 大型株指数,香港
HSI:IND,香港 ﾊﾝｾﾝ指数,香港
HSCEI:IND,ﾊﾝｾﾝ中国企業株指数(H株),香港
HSHK35:IND,ﾊﾝｾﾝ香港35指数,,香港
