日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201030,1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品,7,TOPIX Small 2
20201030,1305,ダイワ上場投信－トピックス,ETF・ETN,-,-,-,-,-,-
20201030,1306,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
20201030,1309,ＮＥＸＴ ＦＵＮＤＳ ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1311,ＮＥＸＴ ＦＵＮＤＳ ＴＯＰＩＸ Ｃｏｒｅ ３０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1312,ＮＥＸＴ ＦＵＮＤＳ ラッセル野村小型コア・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,-,-,-,-,-,-
20201030,1319,ＮＥＸＴ ＦＵＮＤＳ 日経３００株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1320,ダイワ上場投信－日経２２５,ETF・ETN,-,-,-,-,-,-
20201030,1321,ＮＥＸＴ ＦＵＮＤＳ 日経２２５連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ Ｆｕｎｄ ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-
20201030,1323,ＮＥＸＴ ＦＵＮＤＳ 南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ Ａｆｒｉｃａ Ｔｏｐ４０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1324,ＮＥＸＴ ＦＵＮＤＳ ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1325,ＮＥＸＴ ＦＵＮＤＳ ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-
20201030,1327,Ｓ＆Ｐ ＧＳＣＩ商品指数 エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN,-,-,-,-,-,-
20201030,1328,ＮＥＸＴ ＦＵＮＤＳ 金価格連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1329,ｉシェアーズ・コア 日経２２５ ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20201030,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
20201030,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
20201030,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
20201030,1343,ＮＥＸＴ ＦＵＮＤＳ 東証ＲＥＩＴ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1344,ＭＡＸＩＳ トピックス・コア３０上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-
20201030,1346,ＭＡＸＩＳ 日経２２５上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1348,ＭＡＸＩＳ トピックス上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,-,-,-,-,-,-
20201030,1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20201030,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1357,ＮＥＸＴ ＦＵＮＤＳ 日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20201030,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,-,-,-,-
20201030,1360,日経平均ベア２倍上場投信,ETF・ETN,-,-,-,-,-,-
