日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201030,1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
20201030,1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
20201030,1414,ショーボンドホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1605,国際石油開発帝石,市場第一部（内国株）,1050,鉱業,2,エネルギー資源,4,TOPIX Mid400
20201030,1721,コムシスホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1801,大成建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1802,大林組,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1803,清水建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1808,長谷工コーポレーション,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1812,鹿島建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1820,西松建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1824,前田建設工業,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1860,戸田建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1878,大東建託,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1883,前田道路,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1893,五洋建設,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1911,住友林業,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1925,大和ハウス工業,市場第一部（内国株）,2050,建設業,3,建設・資材,2,TOPIX Large70
20201030,1928,積水ハウス,市場第一部（内国株）,2050,建設業,3,建設・資材,2,TOPIX Large70
20201030,1944,きんでん,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1951,協和エクシオ,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1959,九電工,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,1963,日揮ホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20201030,2002,日清製粉グループ本社,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2127,日本Ｍ＆Ａセンター,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2175,エス・エム・エス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2181,パーソルホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2201,森永製菓,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2206,江崎グリコ,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2212,山崎製パン,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2229,カルビー,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2264,森永乳業,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2267,ヤクルト本社,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2269,明治ホールディングス,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2270,雪印メグミルク,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2282,日本ハム,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2331,綜合警備保障,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2371,カカクコム,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2412,ベネフィット・ワン,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2413,エムスリー,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,2,TOPIX Large70
20201030,2432,ディー・エヌ・エー,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2433,博報堂ＤＹホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2492,インフォマート,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,2501,サッポロホールディングス,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2502,アサヒグループホールディングス,市場第一部（内国株）,3050,食料品,1,食品,2,TOPIX Large70
20201030,2503,キリンホールディングス,市場第一部（内国株）,3050,食料品,1,食品,2,TOPIX Large70
20201030,2531,宝ホールディングス,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2579,コカ・コーラ ボトラーズジャパンホールディングス,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2587,サントリー食品インターナショナル,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2593,伊藤園,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2607,不二製油グループ本社,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2651,ローソン,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,2670,エービーシー・マート,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,2768,双日,市場第一部（内国株）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20201030,2784,アルフレッサ ホールディングス,市場第一部（内国株）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20201030,2801,キッコーマン,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2802,味の素,市場第一部（内国株）,3050,食料品,1,食品,2,TOPIX Large70
20201030,2809,キユーピー,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2810,ハウス食品グループ本社,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2811,カゴメ,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2815,アリアケジャパン,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2871,ニチレイ,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2875,東洋水産,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2897,日清食品ホールディングス,市場第一部（内国株）,3050,食料品,1,食品,4,TOPIX Mid400
20201030,2914,日本たばこ産業,市場第一部（内国株）,3050,食料品,1,食品,2,TOPIX Large70
20201030,3003,ヒューリック,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
20201030,3038,神戸物産,市場第一部（内国株）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20201030,3064,ＭｏｎｏｔａＲＯ,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3086,Ｊ．フロント リテイリング,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3088,マツモトキヨシホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3092,ＺＯＺＯ,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3099,三越伊勢丹ホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3101,東洋紡,市場第一部（内国株）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20201030,3105,日清紡ホールディングス,市場第一部（内国株）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20201030,3116,トヨタ紡織,市場第一部（内国株）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
20201030,3141,ウエルシアホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3197,すかいらーくホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3231,野村不動産ホールディングス,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
20201030,3288,オープンハウス,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
20201030,3289,東急不動産ホールディングス,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
20201030,3291,飯田グループホールディングス,市場第一部（内国株）,8050,不動産業,17,不動産,4,TOPIX Mid400
20201030,3349,コスモス薬品,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3360,シップヘルスケアホールディングス,市場第一部（内国株）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20201030,3382,セブン＆アイ・ホールディングス,市場第一部（内国株）,6100,小売業,14,小売,1,TOPIX Core30
20201030,3391,ツルハホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3401,帝人,市場第一部（内国株）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20201030,3402,東レ,市場第一部（内国株）,3100,繊維製品,4,素材・化学,2,TOPIX Large70
20201030,3405,クラレ,市場第一部（内国株）,3200,化学,4,素材・化学,4,TOPIX Mid400
20201030,3407,旭化成,市場第一部（内国株）,3200,化学,4,素材・化学,2,TOPIX Large70
20201030,3436,ＳＵＭＣＯ,市場第一部（内国株）,3550,金属製品,3,建設・資材,4,TOPIX Mid400
20201030,3549,クスリのアオキホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3563,スシローグローバルホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
20201030,3591,ワコールホールディングス,市場第一部（内国株）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20201030,3626,ＴＩＳ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3635,コーエーテクモホールディングス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3659,ネクソン,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3765,ガンホー・オンライン・エンターテイメント,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3769,ＧＭＯペイメントゲートウェイ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3861,王子ホールディングス,市場第一部（内国株）,3150,パルプ・紙,4,素材・化学,4,TOPIX Mid400
20201030,3863,日本製紙,市場第一部（内国株）,3150,パルプ・紙,4,素材・化学,4,TOPIX Mid400
20201030,3938,ＬＩＮＥ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20201030,3941,レンゴー,市場第一部（内国株）,3150,パルプ・紙,4,素材・化学,4,TOPIX Mid400
20201030,4004,昭和電工,市場第一部（内国株）,3200,化学,4,素材・化学,4,TOPIX Mid400
